"","Date/Time UTC","Lat","Long","Pressure_mb","Speed_kt","Category","LatLong","Tip"
"1",1992-08-16 18:00:00,10.8,-35.5,1010,25,"Tropical Depression","10.8:-35.5","Tropical Depression<BR>Pressure=1010<BR>Speed=25"
"2",1992-08-17 00:00:00,11.2,-37.4,1009,30,"Tropical Depression","11.2:-37.4","Tropical Depression<BR>Pressure=1009<BR>Speed=30"
"3",1992-08-17 06:00:00,11.7,-39.6,1008,30,"Tropical Depression","11.7:-39.6","Tropical Depression<BR>Pressure=1008<BR>Speed=30"
"4",1992-08-17 12:00:00,12.3,-42,1006,35,"Tropical Storm","12.3:-42","Tropical Storm<BR>Pressure=1006<BR>Speed=35"
"5",1992-08-17 18:00:00,13.1,-44.2,1003,35,"Tropical Storm","13.1:-44.2","Tropical Storm<BR>Pressure=1003<BR>Speed=35"
"6",1992-08-18 00:00:00,13.6,-46.2,1002,40,"Tropical Storm","13.6:-46.2","Tropical Storm<BR>Pressure=1002<BR>Speed=40"
"7",1992-08-18 06:00:00,14.1,-48,1001,45,"Tropical Storm","14.1:-48","Tropical Storm<BR>Pressure=1001<BR>Speed=45"
"8",1992-08-18 12:00:00,14.6,-49.9,1000,45,"Tropical Storm","14.6:-49.9","Tropical Storm<BR>Pressure=1000<BR>Speed=45"
"9",1992-08-18 18:00:00,15.4,-51.8,1000,45,"Tropical Storm","15.4:-51.8","Tropical Storm<BR>Pressure=1000<BR>Speed=45"
"10",1992-08-19 00:00:00,16.3,-53.5,1001,45,"Tropical Storm","16.3:-53.5","Tropical Storm<BR>Pressure=1001<BR>Speed=45"
"11",1992-08-19 06:00:00,17.2,-55.3,1002,45,"Tropical Storm","17.2:-55.3","Tropical Storm<BR>Pressure=1002<BR>Speed=45"
"12",1992-08-19 12:00:00,18,-56.9,1005,45,"Tropical Storm","18:-56.9","Tropical Storm<BR>Pressure=1005<BR>Speed=45"
"13",1992-08-19 18:00:00,18.8,-58.3,1007,45,"Tropical Storm","18.8:-58.3","Tropical Storm<BR>Pressure=1007<BR>Speed=45"
"14",1992-08-20 00:00:00,19.8,-59.3,1011,40,"Tropical Storm","19.8:-59.3","Tropical Storm<BR>Pressure=1011<BR>Speed=40"
"15",1992-08-20 06:00:00,20.7,-60,1013,40,"Tropical Storm","20.7:-60","Tropical Storm<BR>Pressure=1013<BR>Speed=40"
"16",1992-08-20 12:00:00,21.7,-60.7,1015,40,"Tropical Storm","21.7:-60.7","Tropical Storm<BR>Pressure=1015<BR>Speed=40"
"17",1992-08-20 18:00:00,22.5,-61.5,1014,40,"Tropical Storm","22.5:-61.5","Tropical Storm<BR>Pressure=1014<BR>Speed=40"
"18",1992-08-21 00:00:00,23.2,-62.4,1014,45,"Tropical Storm","23.2:-62.4","Tropical Storm<BR>Pressure=1014<BR>Speed=45"
"19",1992-08-21 06:00:00,23.9,-63.3,1010,45,"Tropical Storm","23.9:-63.3","Tropical Storm<BR>Pressure=1010<BR>Speed=45"
"20",1992-08-21 12:00:00,24.4,-64.2,1007,50,"Tropical Storm","24.4:-64.2","Tropical Storm<BR>Pressure=1007<BR>Speed=50"
"21",1992-08-21 18:00:00,24.8,-64.9,1004,50,"Tropical Storm","24.8:-64.9","Tropical Storm<BR>Pressure=1004<BR>Speed=50"
"22",1992-08-22 00:00:00,25.3,-65.9,1000,55,"Tropical Storm","25.3:-65.9","Tropical Storm<BR>Pressure=1000<BR>Speed=55"
"23",1992-08-22 06:00:00,25.6,-67,994,60,"Tropical Storm","25.6:-67","Tropical Storm<BR>Pressure=994<BR>Speed=60"
"24",1992-08-22 12:00:00,25.8,-68.3,981,70,"Hurricane","25.8:-68.3","Hurricane<BR>Pressure=981<BR>Speed=70"
"25",1992-08-22 18:00:00,25.7,-69.7,969,80,"Hurricane","25.7:-69.7","Hurricane<BR>Pressure=969<BR>Speed=80"
"26",1992-08-23 00:00:00,25.6,-71.1,961,90,"Hurricane","25.6:-71.1","Hurricane<BR>Pressure=961<BR>Speed=90"
"27",1992-08-23 06:00:00,25.5,-72.5,947,105,"Hurricane","25.5:-72.5","Hurricane<BR>Pressure=947<BR>Speed=105"
"28",1992-08-23 12:00:00,25.4,-74.2,933,120,"Hurricane","25.4:-74.2","Hurricane<BR>Pressure=933<BR>Speed=120"
"29",1992-08-23 18:00:00,25.4,-75.8,922,135,"Hurricane","25.4:-75.8","Hurricane<BR>Pressure=922<BR>Speed=135"
"30",1992-08-24 00:00:00,25.4,-77.5,930,125,"Hurricane","25.4:-77.5","Hurricane<BR>Pressure=930<BR>Speed=125"
"31",1992-08-24 06:00:00,25.4,-79.3,937,120,"Hurricane","25.4:-79.3","Hurricane<BR>Pressure=937<BR>Speed=120"
"32",1992-08-24 12:00:00,25.6,-81.2,951,110,"Hurricane","25.6:-81.2","Hurricane<BR>Pressure=951<BR>Speed=110"
"33",1992-08-24 18:00:00,25.8,-83.1,947,115,"Hurricane","25.8:-83.1","Hurricane<BR>Pressure=947<BR>Speed=115"
"34",1992-08-25 00:00:00,26.2,-85,943,115,"Hurricane","26.2:-85","Hurricane<BR>Pressure=943<BR>Speed=115"
"35",1992-08-25 06:00:00,26.6,-86.7,948,115,"Hurricane","26.6:-86.7","Hurricane<BR>Pressure=948<BR>Speed=115"
"36",1992-08-25 12:00:00,27.2,-88.2,946,115,"Hurricane","27.2:-88.2","Hurricane<BR>Pressure=946<BR>Speed=115"
"37",1992-08-25 18:00:00,27.8,-89.6,941,120,"Hurricane","27.8:-89.6","Hurricane<BR>Pressure=941<BR>Speed=120"
"38",1992-08-26 00:00:00,28.5,-90.5,937,120,"Hurricane","28.5:-90.5","Hurricane<BR>Pressure=937<BR>Speed=120"
"39",1992-08-26 06:00:00,29.2,-91.3,955,115,"Hurricane","29.2:-91.3","Hurricane<BR>Pressure=955<BR>Speed=115"
"40",1992-08-26 12:00:00,30.1,-91.7,973,80,"Tropical Storm","30.1:-91.7","Tropical Storm<BR>Pressure=973<BR>Speed=80"
"41",1992-08-26 18:00:00,30.9,-91.6,991,50,"Tropical Storm","30.9:-91.6","Tropical Storm<BR>Pressure=991<BR>Speed=50"
"42",1992-08-27 00:00:00,31.5,-91.1,995,35,"Tropical Depression","31.5:-91.1","Tropical Depression<BR>Pressure=995<BR>Speed=35"
"43",1992-08-27 06:00:00,32.1,-90.5,997,30,"Tropical Depression","32.1:-90.5","Tropical Depression<BR>Pressure=997<BR>Speed=30"
"44",1992-08-27 12:00:00,32.8,-89.6,998,30,"Tropical Depression","32.8:-89.6","Tropical Depression<BR>Pressure=998<BR>Speed=30"
"45",1992-08-27 18:00:00,33.6,-88.4,999,25,"Tropical Depression","33.6:-88.4","Tropical Depression<BR>Pressure=999<BR>Speed=25"
"46",1992-08-28 00:00:00,34.4,-86.7,1000,20,"Tropical Depression","34.4:-86.7","Tropical Depression<BR>Pressure=1000<BR>Speed=20"
"47",1992-08-28 06:00:00,35.4,-84,1000,20,"Tropical Depression","35.4:-84","Tropical Depression<BR>Pressure=1000<BR>Speed=20"
